"Organization","ID/CDC","Administration","Tested Grade","STAAR - Mathematics|Tests Taken","STAAR - Mathematics|Average Scale Score","STAAR - Mathematics|Performance Levels|Did Not Meet|Count","STAAR - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR - Mathematics|Performance Levels|Approaches and Above|Count","STAAR - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR - Mathematics|Performance Levels|Meets and Above|Count","STAAR - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR - Mathematics|Performance Levels|Masters|Count","STAAR - Mathematics|Performance Levels|Masters|Percentage","STAAR Spanish - Mathematics|Tests Taken","STAAR Spanish - Mathematics|Average Scale Score","STAAR Spanish - Mathematics|Performance Levels|Did Not Meet|Count","STAAR Spanish - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR Spanish - Mathematics|Performance Levels|Approaches and Above|Count","STAAR Spanish - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR Spanish - Mathematics|Performance Levels|Meets and Above|Count","STAAR Spanish - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR Spanish - Mathematics|Performance Levels|Masters|Count","STAAR Spanish - Mathematics|Performance Levels|Masters|Percentage"
"ARCHER CITY ISD","005901","Spring 2025","8","34","1922","5","15","29","85","26","76","9","26","","","","","","","","","",""
"ARCHER CITY ISD","005901","Spring 2024","3","41","1461","11","27","30","73","14","34","8","20","0","","","","","","","","",""
"ARCHER CITY ISD","005901","Spring 2024","5","41","1758","0","0","41","100","34","83","18","44","0","","","","","","","","",""
"ARCHER CITY ISD","005901","Spring 2024","8","32","1867","7","22","25","78","14","44","5","16","","","","","","","","","",""
"ARCHER CITY ISD","005901","Spring 2023","3","36","1545","1","3","35","97","28","78","12","33","0","","","","","","","","",""
"ARCHER CITY ISD","005901","Spring 2023","5","31","1729","2","6","29","94","27","87","10","32","0","","","","","","","","",""
"ARCHER CITY ISD","005901","Spring 2023","8","30","1923","8","27","22","73","17","57","12","40","","","","","","","","","",""
"ARGYLE ISD","061910","Spring 2025","3","501","1545","58","12","443","88","332","66","173","35","0","","","","","","","","",""
"ARGYLE ISD","061910","Spring 2025","5","529","1762","39","7","490","93","379","72","237","45","0","","","","","","","","",""
"ARGYLE ISD","061910","Spring 2025","8","490","1950","59","12","431","88","327","67","164","33","","","","","","","","","",""
"ARGYLE ISD","061910","Spring 2024","3","408","1518","50","12","358","88","250","61","92","23","0","","","","","","","","",""
"ARGYLE ISD","061910","Spring 2024","5","449","1771","25","6","424","94","354","79","200","45","0","","","","","","","","",""
"ARGYLE ISD","061910","Spring 2024","8","430","1941","48","11","382","89","275","64","141","33","","","","","","","","","",""
"ARGYLE ISD","061910","Spring 2023","3","414","1508","55","13","359","87","241","58","112","27","0","","","","","","","","",""
"ARGYLE ISD","061910","Spring 2023","5","388","1758","20","5","368","95","312","80","170","44","0","","","","","","","","",""
"ARGYLE ISD","061910","Spring 2023","8","367","1984","22","6","345","94","281","77","159","43","","","","","","","","","",""
"ARISTOI CLASSICAL ACADEMY","101803","Spring 2025","3","154","1478","24","16","130","84","78","51","21","14","0","","","","","","","","",""
"ARISTOI CLASSICAL ACADEMY","101803","Spring 2025","5","147","1607","51","35","96","65","59","40","23","16","0","","","","","","","","",""
"ARISTOI CLASSICAL ACADEMY","101803","Spring 2025","8","75","1796","27","36","48","64","18","24","1","1","","","","","","","","","",""
"ARISTOI CLASSICAL ACADEMY","101803","Spring 2024","3","153","1465","35","23","118","77","70","46","24","16","0","","","","","","","","",""
"ARISTOI CLASSICAL ACADEMY","101803","Spring 2024","5","147","1604","47","32","100","68","60","41","15","10","0","","","","","","","","",""
"ARISTOI CLASSICAL ACADEMY","101803","Spring 2024","8","64","1794","23","36","41","64","13","20","1","2","","","","","","","","","",""
"ARISTOI CLASSICAL ACADEMY","101803","Spring 2023","3","131","1469","35","27","96","73","63","48","25","19","0","","","","","","","","",""
"ARISTOI CLASSICAL ACADEMY","101803","Spring 2023","5","121","1613","27","22","94","78","56","46","15","12","0","","","","","","","","",""
"ARISTOI CLASSICAL ACADEMY","101803","Spring 2023","8","50","1830","11","22","39","78","15","30","2","4","","","","","","","","","",""
"ARLINGTON CLASSICS ACADEMY","220802","Spring 2025","3","176","1578","11","6","165","94","136","77","72","41","0","","","","","","","","",""
"ARLINGTON CLASSICS ACADEMY","220802","Spring 2025","5","175","1672","27","15","148","85","90","51","46","26","0","","","","","","","","",""
"ARLINGTON CLASSICS ACADEMY","220802","Spring 2025","8","3","","","","","","","","","","","","","","","","","","",""
"ARLINGTON CLASSICS ACADEMY","220802","Spring 2024","3","174","1534","22","13","152","87","119","68","47","27","0","","","","","","","","",""
"ARLINGTON CLASSICS ACADEMY","220802","Spring 2024","5","176","1699","21","12","155","88","116","66","59","34","0","","","","","","","","",""
"ARLINGTON CLASSICS ACADEMY","220802","Spring 2023","3","170","1557","8","5","162","95","116","68","64","38","0","","","","","","","","",""
"ARLINGTON CLASSICS ACADEMY","220802","Spring 2023","5","173","1690","19","11","154","89","109","63","48","28","0","","","","","","","","",""
"ARLINGTON CLASSICS ACADEMY","220802","Spring 2023","8","3","","","","","","","","","","","","","","","","","","",""
"ARLINGTON ISD","220901","Spring 2025","3","3313","1421","1315","40","1998","60","1159","35","446","13","321","1354","188","59","133","41","52","16","11","3"
"ARLINGTON ISD","220901","Spring 2025","5","3449","1598","1253","36","2196","64","1228","36","521","15","231","1509","144","62","87","38","39","17","19","8"
"ARLINGTON ISD","220901","Spring 2025","8","2825","1797","1262","45","1563","55","792","28","187","7","","","","","","","","","",""
"ARLINGTON ISD","220901","Spring 2024","3","3424","1424","1295","38","2129","62","1148","34","370","11","297","1335","195","66","102","34","35","12","6","2"
"ARLINGTON ISD","220901","Spring 2024","5","3541","1599","1212","34","2329","66","1323","37","472","13","213","1499","131","62","82","38","26","12","2","1"
"ARLINGTON ISD","220901","Spring 2024","8","3026","1783","1455","48","1571","52","605","20","143","5","","","","","","","","","",""
"ARLINGTON ISD","220901","Spring 2023","3","3529","1418","1357","38","2172","62","1164","33","437","12","222","1352","134","60","88","40","27","12","9","4"
"ARLINGTON ISD","220901","Spring 2023","5","3534","1600","1094","31","2440","69","1311","37","496","14","148","1509","89","60","59","40","20","14","4","3"
"ARLINGTON ISD","220901","Spring 2023","8","3244","1799","1202","37","2042","63","876","27","207","6","","","","","","","","","",""
"ARP ISD","212901","Spring 2025","3","73","1468","11","15","62","85","33","45","8","11","0","","","","","","","","",""
"ARP ISD","212901","Spring 2025","5","69","1637","14","20","55","80","30","43","10","14","0","","","","","","","","",""
"ARP ISD","212901","Spring 2025","8","81","1818","21","26","60","74","30","37","3","4","","","","","","","","","",""
"ARP ISD","212901","Spring 2024","3","73","1431","26","36","47","64","23","32","8","11","0","","","","","","","","",""
"ARP ISD","212901","Spring 2024","5","77","1609","24","31","53","69","33","43","12","16","0","","","","","","","","",""
"ARP ISD","212901","Spring 2024","8","75","1809","27","36","48","64","21","28","1","1","","","","","","","","","",""
"ARP ISD","212901","Spring 2023","3","67","1431","15","22","52","78","22","33","6","9","0","","","","","","","","",""
"ARP ISD","212901","Spring 2023","5","76","1599","16","21","60","79","30","39","7","9","0","","","","","","","","",""
"ARP ISD","212901","Spring 2023","8","72","1811","23","32","49","68","19","26","4","6","","","","","","","","","",""
"ARROW ACADEMY","021805","Spring 2025","3","73","1453","17","23","56","77","30","41","8","11","0","","","","","","","","",""
"ARROW ACADEMY","021805","Spring 2025","5","63","1604","17","27","46","73","24","38","9","14","0","","","","","","","","",""
"ARROW ACADEMY","021805","Spring 2024","3","82","1432","21","26","61","74","31","38","6","7","2","","","","","","","","",""
"ARROW ACADEMY","021805","Spring 2024","5","67","1589","21","31","46","69","23","34","6","9","0","","","","","","","","",""
"ARROW ACADEMY","021805","Spring 2023","3","95","1441","28","29","67","71","37","39","14","15","0","","","","","","","","",""
"ARROW ACADEMY","021805","Spring 2023","5","93","1555","35","38","58","62","24","26","2","2","0","","","","","","","","",""
"ASPERMONT ISD","217901","Spring 2025","3","14","1501","4","29","10","71","8","57","5","36","0","","","","","","","","",""
"ASPERMONT ISD","217901","Spring 2025","5","16","1635","3","19","13","81","7","44","3","19","1","","","","","","","","",""
"ASPERMONT ISD","217901","Spring 2025","8","7","1894","1","14","6","86","5","71","0","0","","","","","","","","","",""
"ASPERMONT ISD","217901","Spring 2024","3","12","1418","6","50","6","50","5","42","2","17","0","","","","","","","","",""
"ASPERMONT ISD","217901","Spring 2024","5","16","1696","2","13","14","88","12","75","5","31","0","","","","","","","","",""
"ASPERMONT ISD","217901","Spring 2024","8","19","1994","3","16","16","84","11","58","8","42","","","","","","","","","",""
"ASPERMONT ISD","217901","Spring 2023","3","16","1424","3","19","13","81","6","38","0","0","0","","","","","","","","",""
"ASPERMONT ISD","217901","Spring 2023","5","12","1653","0","0","12","100","7","58","1","8","0","","","","","","","","",""
"ASPERMONT ISD","217901","Spring 2023","8","11","1931","2","18","9","82","8","73","4","36","","","","","","","","","",""
"ATHENS ISD","107901","Spring 2025","3","181","1414","69","38","112","62","54","30","22","12","3","","","","","","","","",""
"ATHENS ISD","107901","Spring 2025","5","214","1603","82","38","132","62","85","40","37","17","2","","","","","","","","",""
"ATHENS ISD","107901","Spring 2025","8","219","1809","94","43","125","57","68","31","20","9","","","","","","","","","",""
"ATHENS ISD","107901","Spring 2024","3","181","1442","61","34","120","66","72","40","20","11","1","","","","","","","","",""
"ATHENS ISD","107901","Spring 2024","5","199","1596","64","32","135","68","82","41","19","10","1","","","","","","","","",""
"ATHENS ISD","107901","Spring 2024","8","232","1808","98","42","134","58","60","26","25","11","","","","","","","","","",""
"ATHENS ISD","107901","Spring 2023","3","222","1478","64","29","158","71","110","50","56","25","1","","","","","","","","",""
"ATHENS ISD","107901","Spring 2023","5","213","1614","50","23","163","77","78","37","34","16","3","","","","","","","","",""
"ATHENS ISD","107901","Spring 2023","8","221","1877","40","18","181","82","111","50","44","20","","","","","","","","","",""
"ATLANTA ISD","034901","Spring 2025","3","169","1454","47","28","122","72","71","42","29","17","0","","","","","","","","",""
"ATLANTA ISD","034901","Spring 2025","5","138","1681","23","17","115","83","74","54","40","29","0","","","","","","","","",""
"ATLANTA ISD","034901","Spring 2025","8","110","1802","39","35","71","65","36","33","3","3","","","","","","","","","",""
"ATLANTA ISD","034901","Spring 2024","3","134","1473","32","24","102","76","62","46","22","16","1","","","","","","","","",""
"ATLANTA ISD","034901","Spring 2024","5","143","1689","15","10","128","90","93","65","32","22","0","","","","","","","","",""
"ATLANTA ISD","034901","Spring 2024","8","103","1798","34","33","69","67","26","25","2","2","","","","","","","","","",""
"ATLANTA ISD","034901","Spring 2023","3","139","1485","27","19","112","81","78","56","33","24","0","","","","","","","","",""
"ATLANTA ISD","034901","Spring 2023","5","152","1690","14","9","138","91","89","59","43","28","0","","","","","","","","",""
"ATLANTA ISD","034901","Spring 2023","8","101","1780","44","44","57","56","21","21","2","2","","","","","","","","","",""
"AUBREY ISD","061907","Spring 2025","3","357","1452","109","31","248","69","158","44","65","18","0","","","","","","","","",""
"AUBREY ISD","061907","Spring 2025","5","345","1611","98","28","247","72","138","40","53","15","0","","","","","","","","",""
"AUBREY ISD","061907","Spring 2025","8","306","1897","87","28","219","72","175","57","80","26","","","","","","","","","",""
"AUBREY ISD","061907","Spring 2024","3","315","1454","91","29","224","71","137","43","44","14","0","","","","","","","","",""
"AUBREY ISD","061907","Spring 2024","5","305","1644","55","18","250","82","156","51","60","20","0","","","","","","","","",""
"AUBREY ISD","061907","Spring 2024","8","299","1866","66","22","233","78","143","48","53","18","","","","","","","","","",""
"AUBREY ISD","061907","Spring 2023","3","275","1483","52","19","223","81","143","52","64","23","0","","","","","","","","",""
"AUBREY ISD","061907","Spring 2023","5","269","1616","56","21","213","79","110","41","39","14","0","","","","","","","","",""
"AUBREY ISD","061907","Spring 2023","8","253","1840","47","19","206","81","107","42","16","6","","","","","","","","","",""
"AUSTIN ACHIEVE PUBLIC SCHOOLS","227825","Spring 2025","3","186","1364","102","55","84","45","44","24","10","5","1","","","","","","","","",""
"AUSTIN ACHIEVE PUBLIC SCHOOLS","227825","Spring 2025","5","169","1506","111","66","58","34","24","14","12","7","0","","","","","","","","",""
"AUSTIN ACHIEVE PUBLIC SCHOOLS","227825","Spring 2025","8","13","1676","13","100","0","0","0","0","0","0","","","","","","","","","",""
"AUSTIN ACHIEVE PUBLIC SCHOOLS","227825","Spring 2024","3","167","1385","87","52","80","48","37","22","16","10","0","","","","","","","","",""
"AUSTIN ACHIEVE PUBLIC SCHOOLS","227825","Spring 2024","5","169","1557","69","41","100","59","43","25","11","7","0","","","","","","","","",""
"AUSTIN ACHIEVE PUBLIC SCHOOLS","227825","Spring 2024","8","10","1728","8","80","2","20","1","10","0","0","","","","","","","","","",""
"AUSTIN ACHIEVE PUBLIC SCHOOLS","227825","Spring 2023","3","145","1400","60","41","85","59","37","26","11","8","0","","","","","","","","",""
"AUSTIN ACHIEVE PUBLIC SCHOOLS","227825","Spring 2023","5","153","1530","81","53","72","47","26","17","11","7","0","","","","","","","","",""
"AUSTIN ACHIEVE PUBLIC SCHOOLS","227825","Spring 2023","8","6","1675","6","100","0","0","0","0","0","0","","","","","","","","","",""
"AUSTIN DISCOVERY SCHOOL","227821","Spring 2025","3","29","1410","12","41","17","59","11","38","3","10","0","","","","","","","","",""
"AUSTIN DISCOVERY SCHOOL","227821","Spring 2025","5","27","1505","14","52","13","48","1","4","0","0","0","","","","","","","","",""
"AUSTIN DISCOVERY SCHOOL","227821","Spring 2024","3","41","1422","17","41","24","59","13","32","5","12","0","","","","","","","","",""
"AUSTIN DISCOVERY SCHOOL","227821","Spring 2024","5","30","1589","10","33","20","67","12","40","3","10","0","","","","","","","","",""
"AUSTIN DISCOVERY SCHOOL","227821","Spring 2023","3","49","1360","25","51","24","49","7","14","0","0","0","","","","","","","","",""
"AUSTIN DISCOVERY SCHOOL","227821","Spring 2023","5","58","1616","15","26","43","74","26","45","11","19","0","","","","","","","","",""
"AUSTIN ISD","227901","Spring 2025","3","4901","1462","1594","33","3307","67","2198","45","1056","22","496","1321","343","69","153","31","46","9","6","1"
"AUSTIN ISD","227901","Spring 2025","5","4727","1649","1329","28","3398","72","2241","47","1143","24","474","1472","350","74","124","26","38","8","6","1"
"AUSTIN ISD","227901","Spring 2025","8","4983","1864","1644","33","3339","67","2332","47","1029","21","","","","","","","","","",""
"AUSTIN ISD","227901","Spring 2024","3","5063","1455","1697","34","3366","66","2145","42","948","19","482","1314","361","75","121","25","28","6","5","1"
"AUSTIN ISD","227901","Spring 2024","5","4704","1662","1109","24","3595","76","2465","52","1149","24","454","1478","318","70","136","30","33","7","2","0"
"AUSTIN ISD","227901","Spring 2024","8","5265","1850","1801","34","3464","66","2161","41","955","18","","","","","","","","","",""
"AUSTIN ISD","227901","Spring 2023","3","4979","1464","1471","30","3508","70","2270","46","1097","22","347","1334","233","67","114","33","22","6","2","1"
"AUSTIN ISD","227901","Spring 2023","5","4827","1663","1050","22","3777","78","2574","53","1274","26","303","1496","189","62","114","38","23","8","4","1"
"AUSTIN ISD","227901","Spring 2023","8","5236","1854","1627","31","3609","69","2260","43","954","18","","","","","","","","","",""
"AUSTWELL-TIVOLI ISD","196901","Spring 2025","3","13","1388","6","46","7","54","4","31","1","8","0","","","","","","","","",""
"AUSTWELL-TIVOLI ISD","196901","Spring 2025","5","11","1681","0","0","11","100","8","73","3","27","0","","","","","","","","",""
"AUSTWELL-TIVOLI ISD","196901","Spring 2025","8","14","1782","6","43","8","57","2","14","0","0","","","","","","","","","",""
"AUSTWELL-TIVOLI ISD","196901","Spring 2024","3","8","1419","1","13","7","88","1","13","0","0","0","","","","","","","","",""
"AUSTWELL-TIVOLI ISD","196901","Spring 2024","5","12","1731","0","0","12","100","9","75","5","42","0","","","","","","","","",""
"AUSTWELL-TIVOLI ISD","196901","Spring 2024","8","10","1881","2","20","8","80","4","40","1","10","","","","","","","","","",""
"AUSTWELL-TIVOLI ISD","196901","Spring 2023","3","6","1596","0","0","6","100","4","67","3","50","0","","","","","","","","",""
"AUSTWELL-TIVOLI ISD","196901","Spring 2023","5","3","","","","","","","","","","0","","","","","","","","",""
"AUSTWELL-TIVOLI ISD","196901","Spring 2023","8","9","1865","2","22","7","78","6","67","0","0","","","","","","","","","",""
"AVALON ISD","070901","Spring 2025","3","19","1482","5","26","14","74","10","53","5","26","0","","","","","","","","",""
"AVALON ISD","070901","Spring 2025","5","25","1511","16","64","9","36","3","12","0","0","1","","","","","","","","",""
"AVALON ISD","070901","Spring 2025","8","16","1789","5","31","11","69","3","19","1","6","","","","","","","","","",""
"AVALON ISD","070901","Spring 2024","3","24","1406","13","54","11","46","8","33","1","4","0","","","","","","","","",""
"AVALON ISD","070901","Spring 2024","5","23","1571","8","35","15","65","6","26","1","4","1","","","","","","","","",""
"AVALON ISD","070901","Spring 2024","8","24","1813","12","50","12","50","10","42","2","8","","","","","","","","","",""
"AVALON ISD","070901","Spring 2023","3","29","1394","12","41","17","59","6","21","2","7","0","","","","","","","","",""
"AVALON ISD","070901","Spring 2023","5","32","1558","9","28","23","72","7","22","1","3","0","","","","","","","","",""
"AVALON ISD","070901","Spring 2023","8","22","1829","6","27","16","73","7","32","1","5","","","","","","","","","",""
"AVERY ISD","194902","Spring 2025","3","21","1502","3","14","18","86","13","62","5","24","0","","","","","","","","",""
"AVERY ISD","194902","Spring 2025","5","19","1617","4","21","15","79","8","42","3","16","0","","","","","","","","",""
"AVERY ISD","194902","Spring 2025","8","25","1893","2","8","23","92","15","60","4","16","","","","","","","","","",""
"AVERY ISD","194902","Spring 2024","3","16","1523","2","13","14","88","9","56","3","19","0","","","","","","","","",""
"AVERY ISD","194902","Spring 2024","5","21","1802","1","5","20","95","18","86","10","48","0","","","","","","","","",""
"AVERY ISD","194902","Spring 2024","8","20","1813","7","35","13","65","6","30","1","5","","","","","","","","","",""
"AVERY ISD","194902","Spring 2023","3","19","1493","2","11","17","89","13","68","3","16","0","","","","","","","","",""
"AVERY ISD","194902","Spring 2023","5","17","1725","2","12","15","88","12","71","6","35","0","","","","","","","","",""
"AVERY ISD","194902","Spring 2023","8","12","1841","2","17","10","83","6","50","0","0","","","","","","","","","",""
"AVINGER ISD","034902","Spring 2025","3","10","1472","4","40","6","60","6","60","2","20","0","","","","","","","","",""
"AVINGER ISD","034902","Spring 2025","5","10","1733","0","0","10","100","8","80","4","40","0","","","","","","","","",""
"AVINGER ISD","034902","Spring 2025","8","8","1815","3","38","5","63","2","25","1","13","","","","","","","","","",""
"AVINGER ISD","034902","Spring 2024","3","9","1441","1","11","8","89","5","56","0","0","0","","","","","","","","",""
"AVINGER ISD","034902","Spring 2024","5","7","1666","1","14","6","86","4","57","2","29","0","","","","","","","","",""
"AVINGER ISD","034902","Spring 2024","8","9","1816","3","33","6","67","4","44","0","0","","","","","","","","","",""
"AVINGER ISD","034902","Spring 2023","3","10","1473","3","30","7","70","6","60","1","10","0","","","","","","","","",""
"AVINGER ISD","034902","Spring 2023","5","10","1607","4","40","6","60","5","50","1","10","0","","","","","","","","",""
"AVINGER ISD","034902","Spring 2023","8","13","1916","2","15","11","85","8","62","4","31","","","","","","","","","",""
"AXTELL ISD","161918","Spring 2025","3","49","1447","11","22","38","78","19","39","4","8","0","","","","","","","","",""
"AXTELL ISD","161918","Spring 2025","5","59","1696","5","8","54","92","43","73","15","25","0","","","","","","","","",""
"AXTELL ISD","161918","Spring 2025","8","58","1772","29","50","29","50","10","17","2","3","","","","","","","","","",""
"AXTELL ISD","161918","Spring 2024","3","61","1412","20","33","41","67","16","26","4","7","0","","","","","","","","",""
"AXTELL ISD","161918","Spring 2024","5","64","1696","6","9","58","91","45","70","18","28","0","","","","","","","","",""
"AXTELL ISD","161918","Spring 2024","8","72","1803","25","35","47","65","19","26","5","7","","","","","","","","","",""
"AXTELL ISD","161918","Spring 2023","3","56","1433","18","32","38","68","18","32","6","11","0","","","","","","","","",""
"AXTELL ISD","161918","Spring 2023","5","51","1642","3","6","48","94","29","57","4","8","0","","","","","","","","",""
"AXTELL ISD","161918","Spring 2023","8","83","1787","36","43","47","57","18","22","4","5","","","","","","","","","",""
"AZLE ISD","220915","Spring 2025","3","537","1450","146","27","391","73","220","41","85","16","4","","","","","","","","",""
"AZLE ISD","220915","Spring 2025","5","557","1602","176","32","381","68","207","37","77","14","10","1497","6","60","4","40","1","10","0","0"
"AZLE ISD","220915","Spring 2025","8","544","1842","181","33","363","67","227","42","75","14","","","","","","","","","",""
"AZLE ISD","220915","Spring 2024","3","472","1430","154","33","318","67","161","34","39","8","2","","","","","","","","",""
"AZLE ISD","220915","Spring 2024","5","535","1628","126","24","409","76","249","47","82","15","0","","","","","","","","",""
"AZLE ISD","220915","Spring 2024","8","517","1851","136","26","381","74","221","43","79","15","","","","","","","","","",""
"AZLE ISD","220915","Spring 2023","3","547","1434","158","29","389","71","208","38","72","13","3","","","","","","","","",""
"AZLE ISD","220915","Spring 2023","5","533","1644","99","19","434","81","276","52","105","20","3","","","","","","","","",""
"AZLE ISD","220915","Spring 2023","8","596","1880","125","21","471","79","309","52","127","21","","","","","","","","","",""
"BAIRD ISD","030903","Spring 2025","3","26","1378","12","46","14","54","5","19","1","4","0","","","","","","","","",""
"BAIRD ISD","030903","Spring 2025","5","24","1651","2","8","22","92","12","50","3","13","0","","","","","","","","",""
"BAIRD ISD","030903","Spring 2025","8","16","1846","6","38","10","63","7","44","4","25","","","","","","","","","",""
"BAIRD ISD","030903","Spring 2024","3","18","1437","3","17","15","83","6","33","0","0","0","","","","","","","","",""
"BAIRD ISD","030903","Spring 2024","5","28","1648","6","21","22","79","14","50","7","25","0","","","","","","","","",""
"BAIRD ISD","030903","Spring 2024","8","23","1809","11","48","12","52","9","39","4","17","","","","","","","","","",""
"BAIRD ISD","030903","Spring 2023","3","25","1433","6","24","19","76","8","32","5","20","0","","","","","","","","",""
"BAIRD ISD","030903","Spring 2023","5","17","1634","2","12","15","88","6","35","2","12","0","","","","","","","","",""
"BAIRD ISD","030903","Spring 2023","8","15","1802","7","47","8","53","5","33","1","7","","","","","","","","","",""
"BAKERRIPLEY COMMUNITY SCHOOLS","101853","Spring 2025","3","93","1399","38","41","55","59","23","25","7","8","1","","","","","","","","",""
"BAKERRIPLEY COMMUNITY SCHOOLS","101853","Spring 2025","5","85","1585","31","36","54","64","31","36","14","16","1","","","","","","","","",""
"BAKERRIPLEY COMMUNITY SCHOOLS","101853","Spring 2025","8","39","1736","25","64","14","36","4","10","1","3","","","","","","","","","",""
"BAKERRIPLEY COMMUNITY SCHOOLS","101853","Spring 2024","3","107","1372","59","55","48","45","20","19","5","5","1","","","","","","","","",""
"BAKERRIPLEY COMMUNITY SCHOOLS","101853","Spring 2024","5","102","1588","37","36","65","64","37","36","12","12","3","","","","","","","","",""
"BAKERRIPLEY COMMUNITY SCHOOLS","101853","Spring 2024","8","44","1775","19","43","25","57","7","16","0","0","","","","","","","","","",""
"BAKERRIPLEY COMMUNITY SCHOOLS","101853","Spring 2023","3","91","1363","49","54","42","46","15","16","2","2","2","","","","","","","","",""
"BAKERRIPLEY COMMUNITY SCHOOLS","101853","Spring 2023","5","88","1539","40","45","48","55","17","19","6","7","0","","","","","","","","",""
"BAKERRIPLEY COMMUNITY SCHOOLS","101853","Spring 2023","8","32","1744","18","56","14","44","2","6","0","0","","","","","","","","","",""
"BALLINGER ISD","200901","Spring 2025","3","75","1369","33","44","42","56","14","19","1","1","0","","","","","","","","",""
"BALLINGER ISD","200901","Spring 2025","5","49","1618","18","37","31","63","20","41","10","20","0","","","","","","","","",""
"BALLINGER ISD","200901","Spring 2025","8","63","1813","29","46","34","54","22","35","3","5","","","","","","","","","",""
"BALLINGER ISD","200901","Spring 2024","3","40","1401","16","40","24","60","13","33","2","5","0","","","","","","","","",""
"BALLINGER ISD","200901","Spring 2024","5","45","1636","10","22","35","78","23","51","8","18","0","","","","","","","","",""
"BALLINGER ISD","200901","Spring 2024","8","55","1825","16","29","39","71","21","38","6","11","","","","","","","","","",""
"BALLINGER ISD","200901","Spring 2023","3","50","1409","17","34","33","66","15","30","3","6","0","","","","","","","","",""
"BALLINGER ISD","200901","Spring 2023","5","59","1655","8","14","51","86","38","64","11","19","0","","","","","","","","",""
"BALLINGER ISD","200901","Spring 2023","8","57","1869","11","19","46","81","23","40","11","19","","","","","","","","","",""
"BALMORHEA ISD","195902","Spring 2025","3","9","1388","3","33","6","67","1","11","1","11","0","","","","","","","","",""
"BALMORHEA ISD","195902","Spring 2025","5","11","1550","4","36","7","64","3","27","1","9","0","","","","","","","","",""
"BALMORHEA ISD","195902","Spring 2025","8","10","1982","0","0","10","100","9","90","3","30","","","","","","","","","",""
"BALMORHEA ISD","195902","Spring 2024","3","5","1351","2","40","3","60","0","0","0","0","0","","","","","","","","",""
"BALMORHEA ISD","195902","Spring 2024","5","7","1496","5","71","2","29","2","29","0","0","0","","","","","","","","",""
"BALMORHEA ISD","195902","Spring 2024","8","9","1852","3","33","6","67","4","44","1","11","","","","","","","","","",""
"BALMORHEA ISD","195902","Spring 2023","3","11","1405","3","27","8","73","4","36","1","9","0","","","","","","","","",""
"BALMORHEA ISD","195902","Spring 2023","5","11","1498","5","45","6","55","1","9","0","0","0","","","","","","","","",""
"BALMORHEA ISD","195902","Spring 2023","8","13","1769","6","46","7","54","1","8","0","0","","","","","","","","","",""
"BANDERA ISD","010902","Spring 2025","3","146","1405","55","38","91","62","45","31","11","8","0","","","","","","","","",""
"BANDERA ISD","010902","Spring 2025","5","162","1618","56","35","106","65","67","41","34","21","0","","","","","","","","",""
"BANDERA ISD","010902","Spring 2025","8","176","1898","41","23","135","77","95","54","38","22","","","","","","","","","",""
"BANDERA ISD","010902","Spring 2024","3","158","1391","71","45","87","55","37","23","12","8","1","","","","","","","","",""
"BANDERA ISD","010902","Spring 2024","5","177","1600","69","39","108","61","68","38","30","17","1","","","","","","","","",""
"BANDERA ISD","010902","Spring 2024","8","144","1812","58","40","86","60","39","27","14","10","","","","","","","","","",""
"BANDERA ISD","010902","Spring 2023","3","162","1399","70","43","92","57","46","28","18","11","1","","","","","","","","",""
"BANDERA ISD","010902","Spring 2023","5","166","1625","42","25","124","75","77","46","27","16","0","","","","","","","","",""
"BANDERA ISD","010902","Spring 2023","8","144","1817","46","32","98","68","46","32","8","6","","","","","","","","","",""
"BANGS ISD","025901","Spring 2025","3","69","1365","42","61","27","39","15","22","6","9","0","","","","","","","","",""
"BANGS ISD","025901","Spring 2025","5","52","1611","12","23","40","77","19","37","5","10","0","","","","","","","","",""
"BANGS ISD","025901","Spring 2025","8","36","1806","12","33","24","67","11","31","1","3","","","","","","","","","",""
"BANGS ISD","025901","Spring 2024","3","61","1463","12","20","49","80","28","46","10","16","0","","","","","","","","",""
"BANGS ISD","025901","Spring 2024","5","65","1574","23","35","42","65","21","32","5","8","0","","","","","","","","",""
"BANGS ISD","025901","Spring 2024","8","48","1839","12","25","36","75","21","44","3","6","","","","","","","","","",""
"BANGS ISD","025901","Spring 2023","3","46","1499","4","9","42","91","29","63","7","15","0","","","","","","","","",""
"BANGS ISD","025901","Spring 2023","5","72","1624","11","15","61","85","31","43","9","13","0","","","","","","","","",""
"BANGS ISD","025901","Spring 2023","8","51","1771","21","41","30","59","8","16","1","2","","","","","","","","","",""
"BANQUETE ISD","178913","Spring 2025","3","56","1415","24","43","32","57","19","34","4","7","0","","","","","","","","",""
"BANQUETE ISD","178913","Spring 2025","5","59","1614","18","31","41","69","24","41","10","17","0","","","","","","","","",""
"BANQUETE ISD","178913","Spring 2025","8","34","1810","15","44","19","56","14","41","1","3","","","","","","","","","",""
